replicate_id,condition,iteration,candidate_index,is_seed,controller_file,controller_sha256,is_reported_champion
naive_1,naive_seed,0,,true,agent_logs/three_dimensional/naive_1/policies/seed.jl,1166612ca4b716bee591ee26917f31bca811271a6cde15c058cab18427df6df3,false
naive_1,naive_seed,1,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_01_candidate_01.jl,0d99e61784eae40c18253a8ca6918b76e186c5078a6f438790de3e1f012671e3,false
naive_1,naive_seed,1,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_01_candidate_02.jl,1a6cfcbcdeec92ca4f081282d49ab33fb3b4ed2970c81f6aa36ed35763871705,false
naive_1,naive_seed,1,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_01_candidate_03.jl,28ad7ba5506e29528947c4808d3953a6886cbfbda3ddccd1fe2929ede895da97,false
naive_1,naive_seed,1,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_01_candidate_04.jl,c6660e69a03a92f7eea3a77e65edb41007131a5aeb56cef806e46e98f4e7874f,false
naive_1,naive_seed,2,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_02_candidate_01.jl,193ccb9f431436f7cf23d3c9ef099e9554748340d91eaac3df1ca3cef2165cf5,false
naive_1,naive_seed,2,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_02_candidate_02.jl,75d214e5c42f6a18024ece16a18eddc8dbe5fc26d75239efcdd9f297b2de16bb,false
naive_1,naive_seed,2,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_02_candidate_03.jl,b475d7ee1c3fc2eed97d274d604c3ec342dc20501eb4ea7cacf12e5ca239aa22,false
naive_1,naive_seed,2,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_02_candidate_04.jl,b8c388b74dd35315b209b906944c4a23ba4c2f500465eb7b6000fa606f23aa21,false
naive_1,naive_seed,3,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_03_candidate_01.jl,8433482b39ccf6aecc8234e6b6aa6ce1e6c5e2457e2c9c28ea7a580f5300e255,false
naive_1,naive_seed,3,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_03_candidate_02.jl,c28fbf4fca902d0854188e1b38895aac36d5c488924b5d3c36a640691d12bdbc,false
naive_1,naive_seed,3,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_03_candidate_03.jl,d4c981a081d90e72fe60c4f9da693f58e0ffafd48a604b5c0158a6d0ae7ed219,false
naive_1,naive_seed,3,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_03_candidate_04.jl,fc912fbd5dd07f2bf26ddb75b1648149af8b989328bd5ba8de53ca3f4832bf08,false
naive_1,naive_seed,4,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_04_candidate_01.jl,8433482b39ccf6aecc8234e6b6aa6ce1e6c5e2457e2c9c28ea7a580f5300e255,false
naive_1,naive_seed,4,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_04_candidate_02.jl,8433482b39ccf6aecc8234e6b6aa6ce1e6c5e2457e2c9c28ea7a580f5300e255,false
naive_1,naive_seed,4,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_04_candidate_03.jl,c757fd7e0ba07ccc8d6cbec8e8de589b18a56f83ed17e7dfd96902517dcd1bc9,false
naive_1,naive_seed,4,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_04_candidate_04.jl,fd7711d9113fc2212ca246404c79f53cc34cc2e7840a0af0c49f8a3e75507a04,false
naive_1,naive_seed,5,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_05_candidate_01.jl,095ca6f6234022bb916f772a9afeca39aa8307452361a2314453aa7deb82ccfe,false
naive_1,naive_seed,5,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_05_candidate_02.jl,305f40b9cf985d59c6476d83209d1f57dd922fb19841ee397f2407f7e928f58a,false
naive_1,naive_seed,5,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_05_candidate_03.jl,9edf4f54d4be47f3af79c7e827f318a9fcd73b8cb12ba043fd80ed9b54a93ce9,false
naive_1,naive_seed,5,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_05_candidate_04.jl,df5cca1a9a94f97a262e4ff0f6c44d3e8ad842967da7d26aa2713696f24033b3,false
naive_1,naive_seed,6,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_06_candidate_01.jl,77bbccaef6c532e5ee9969682a4c43678d166eeb6fb6c09196d58c8aba197b69,false
naive_1,naive_seed,6,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_06_candidate_02.jl,7bad8bb3ac826df390413825b6b0e53ab9722dfee54c5194bc4bf4b742179af3,false
naive_1,naive_seed,6,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_06_candidate_03.jl,8f66574a7e4672e198bcd7762e85ac85f63dff687ef8605d712d995c6f96177f,false
naive_1,naive_seed,6,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_06_candidate_04.jl,eb18fced4d2525a863e97422da4398aa7114d0b0e1ec059c0fef6025c08b1696,false
naive_1,naive_seed,7,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_07_candidate_01.jl,38b3f9e0008887366334039f3a13d8b1e9138e49542c576c66fbff6e5ebcf177,false
naive_1,naive_seed,7,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_07_candidate_02.jl,5b376bae995e6cdf264b2cf9e1fa67c6c900b5723986ed359032904ae56ee5df,false
naive_1,naive_seed,7,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_07_candidate_03.jl,e041d06ee58b150e346f9ac05ffb421faf0a6fe583680a4e14b38a1e937de36d,false
naive_1,naive_seed,7,4,false,agent_logs/three_dimensional/naive_1/policies/iteration_07_candidate_04.jl,f607a94091a7228aed58ddf0de07ede21e44e6c245f3aa5b6a2097315e4ce19a,false
naive_1,naive_seed,8,1,false,agent_logs/three_dimensional/naive_1/policies/iteration_08_candidate_01.jl,213a90dec066cf5f580171583a213f13e6a16888d534c966d6dd2635de09a70e,false
naive_1,naive_seed,8,2,false,agent_logs/three_dimensional/naive_1/policies/iteration_08_candidate_02.jl,6b597166498680e209061431bcd838701d8bfe5c34dbee73c00af9611d66a62c,false
naive_1,naive_seed,8,3,false,agent_logs/three_dimensional/naive_1/policies/iteration_08_candidate_03.jl,908aea769843ac7bf8b2aa1eb4145ecd8b664d502f4051b53433432d1e6f098f,false
